127.0.0.1 - - [07/Sep/2019:20:48:04 +0300] "GET / HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [07/Sep/2019:20:55:35 +0300] "GET /web_api/Users/Login/1/1/1 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [07/Sep/2019:20:55:35 +0300] "GET /web_api/Users/isManager/1/1/1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [07/Sep/2019:20:55:35 +0300] "GET /web_api/Users/getUser/1/1/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [07/Sep/2019:20:55:47 +0300] "GET /web_api/Messages/getMessages HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [07/Sep/2019:20:55:47 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [07/Sep/2019:20:55:47 +0300] "GET /web_api/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [07/Sep/2019:20:57:24 +0300] "GET /web_api/Messages/getMessages HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [07/Sep/2019:20:57:24 +0300] "GET /web_api/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [07/Sep/2019:20:57:24 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [07/Sep/2019:20:57:28 +0300] "OPTIONS /web_api/Messages/addMessage HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Sep/2019:20:57:28 +0300] "POST /web_api/Messages/addMessage HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [07/Sep/2019:20:57:31 +0300] "POST /web_api/Messages/addMessage HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [07/Sep/2019:20:57:33 +0300] "POST /web_api/Messages/addMessage HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [07/Sep/2019:20:57:35 +0300] "POST /web_api/Messages/addMessage HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [07/Sep/2019:20:57:41 +0300] "POST /web_api/Messages/addMessage HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [07/Sep/2019:20:57:52 +0300] "POST /web_api/Messages/addMessage HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [07/Sep/2019:22:04:44 +0300] "GET /web_api/Users/Login/1/1/1 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [07/Sep/2019:22:04:44 +0300] "GET /web_api/Users/getUser/1/1/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [07/Sep/2019:22:04:44 +0300] "GET /web_api/Users/isManager/1/1/1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [07/Sep/2019:22:04:45 +0300] "GET /web_api/Messages/getMessages HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [07/Sep/2019:22:04:45 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [07/Sep/2019:22:04:45 +0300] "GET /web_api/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [07/Sep/2019:22:04:45 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [07/Sep/2019:22:04:45 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [07/Sep/2019:22:04:45 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [07/Sep/2019:22:04:45 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [07/Sep/2019:22:04:45 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [07/Sep/2019:22:04:45 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [07/Sep/2019:22:05:16 +0300] "POST /web_api/Messages/addMessage HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [07/Sep/2019:22:05:35 +0300] "POST /web_api/Messages/addMessage HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [07/Sep/2019:22:05:49 +0300] "POST /web_api/Messages/addMessage HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [07/Sep/2019:22:06:02 +0300] "POST /web_api/Messages/addMessage HTTP/1.1" 200 25
