127.0.0.1 - - [14/Sep/2019:20:44:49 +0300] "GET / HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [14/Sep/2019:20:44:50 +0300] "GET /web_api/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:20:49:08 +0300] "GET /web_api/Users/Login/1/1/1 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [14/Sep/2019:20:49:08 +0300] "GET /web_api/Users/isManager/1/1/1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [14/Sep/2019:20:49:08 +0300] "GET /web_api/Users/getUser/1/1/1 HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [14/Sep/2019:20:49:11 +0300] "GET /web_api/Messages/getMessages HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [14/Sep/2019:20:49:11 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [14/Sep/2019:20:49:11 +0300] "GET /web_api/Users/getUserById/315163659 HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [14/Sep/2019:20:49:12 +0300] "GET /web_api/Messages/getMessages HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [14/Sep/2019:20:49:12 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [14/Sep/2019:20:49:12 +0300] "GET /web_api/Users/getUserById/315163659 HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [14/Sep/2019:20:49:13 +0300] "GET /web_api/Messages/getMessages HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [14/Sep/2019:20:49:13 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [14/Sep/2019:20:49:13 +0300] "GET /web_api/Users/getUserById/315163659 HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [14/Sep/2019:20:49:14 +0300] "GET /web_api/Messages/getMessages HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [14/Sep/2019:20:49:14 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [14/Sep/2019:20:49:14 +0300] "GET /web_api/Users/getUserById/315163659 HTTP/1.1" 200 177
