127.0.0.1 - - [04/Sep/2019:00:56:54 +0300] "GET / HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [04/Sep/2019:00:57:33 +0300] "GET /tryagain/Users/Login/1/1/1 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [04/Sep/2019:00:57:33 +0300] "GET /tryagain/Users/isManager/1/1/1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [04/Sep/2019:00:57:33 +0300] "GET /tryagain/Users/getUser/1/1/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [04/Sep/2019:00:57:35 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [04/Sep/2019:00:57:35 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [04/Sep/2019:00:57:35 +0300] "GET /tryagain/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [04/Sep/2019:01:12:13 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [04/Sep/2019:01:12:13 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [04/Sep/2019:01:12:13 +0300] "GET /tryagain/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [04/Sep/2019:01:13:00 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [04/Sep/2019:01:13:00 +0300] "GET /tryagain/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [04/Sep/2019:01:13:00 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [04/Sep/2019:01:13:07 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [04/Sep/2019:01:13:07 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [04/Sep/2019:01:13:07 +0300] "GET /tryagain/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [04/Sep/2019:01:13:22 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [04/Sep/2019:01:13:22 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [04/Sep/2019:01:13:22 +0300] "GET /tryagain/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [04/Sep/2019:01:13:40 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [04/Sep/2019:01:13:40 +0300] "GET /tryagain/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [04/Sep/2019:01:13:40 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [04/Sep/2019:01:13:57 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [04/Sep/2019:01:13:57 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [04/Sep/2019:01:13:57 +0300] "GET /tryagain/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [04/Sep/2019:01:14:13 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 132
